edad,ingresos_mensuales,ahorro_mensual,deudas_mensuales,horizonte_inversion,objetivo_financiero,tolerancia_riesgo,estabilidad_ingresos,conocimiento_inversiones,colchon_seguridad,perfil_riesgo
34,2098.341759664906,666.2663424649963,0.0,corto plazo,3,2,1,3,s,5
63,1693.9588343953633,237.7844208112276,0.0,largo plazo,1,3,3,1,n,1
64,1433.7787177366802,298.0042829484771,0.0,medio plazo,2,2,2,2,n,3
26,2330.4542679635515,1826.945738470936,0.0,corto plazo,1,3,2,3,n,3
22,1699.7825470730636,651.4312584118939,0.0,largo plazo,3,2,3,2,s,4
40,2754.4577603047765,1534.5573382629254,0.0,largo plazo,3,1,2,1,s,3
54,1310.5306195630617,1310.5306195630617,0.0,medio plazo,1,3,1,1,s,3
52,6759.855558055049,5575.707871744106,0.0,medio plazo,2,3,3,2,n,3
53,2474.7255149897483,1146.7267268473356,0.0,medio plazo,3,2,1,2,s,5
32,2896.3599440657595,1528.5488130173526,818.0404141914868,corto plazo,3,1,3,4,s,3
48,1801.124343532759,1112.3932678437332,0.0,corto plazo,1,2,1,4,n,3
39,1922.9342194135263,433.96450557950266,888.8806847633319,medio plazo,3,3,1,3,n,3
69,1582.1863408333024,948.3315114702732,0.0,corto plazo,1,1,3,2,s,2
33,6548.720556904926,6548.720556904926,0.0,largo plazo,2,2,2,2,n,4
49,1289.512673776583,733.7777414963194,1380.0221809738575,corto plazo,1,1,3,1,n,1
63,1131.6605518117608,100.0,386.337095830439,corto plazo,1,2,1,1,s,1
27,860.9673856685613,100.0,0.0,corto plazo,2,3,2,2,s,4
44,1358.7944817960722,855.8528134645064,0.0,corto plazo,3,3,1,2,s,5
58,2152.985962670436,2152.985962670436,0.0,medio plazo,3,2,2,4,n,4
24,4716.548723872858,3541.79520706053,0.0,medio plazo,1,1,1,2,n,3
30,1254.5081043396656,100.0,0.0,medio plazo,3,2,3,1,n,2
63,2566.7777508889394,2566.7777508889394,540.6882602615592,medio plazo,1,1,2,1,s,2
36,1344.2778788249288,355.85298908579966,0.0,largo plazo,2,3,2,3,n,4
66,1583.4842158156089,1583.4842158156089,0.0,medio plazo,1,3,1,4,n,4
45,7947.634495873749,6744.3196159475365,0.0,largo plazo,2,3,3,1,s,3
26,1768.1015066874263,1768.1015066874263,475.03478738647135,largo plazo,1,3,2,4,s,5
25,2085.960870593105,1449.941416722203,0.0,largo plazo,3,2,3,4,s,5
43,2403.5958091240427,184.0154725030952,0.0,medio plazo,3,2,2,1,s,3
65,1144.2984610884166,282.0752313620152,311.6405985724612,corto plazo,2,2,2,4,n,2
64,1054.0112247932957,115.62931690506866,473.0143785951177,corto plazo,2,3,2,1,s,2
44,808.0227636572469,100.0,801.5968562461262,medio plazo,3,2,2,1,s,2
20,2787.020714563389,2263.833542160398,0.0,largo plazo,3,2,2,3,s,5
64,1680.3550016269446,1680.3550016269446,0.0,medio plazo,2,2,3,1,n,2
18,1220.348805314631,413.2995034489477,0.0,medio plazo,2,3,3,3,s,4
68,873.1391452295766,873.1391452295766,564.0356288216271,corto plazo,2,2,1,1,s,2
48,2888.757947423618,2259.915597579745,1460.4338411704498,medio plazo,3,2,1,1,n,2
21,2100.114120361673,1226.8038950501682,0.0,medio plazo,3,1,3,4,n,3
18,2169.3716882780614,1252.4599693728865,0.0,largo plazo,3,1,2,1,s,4
67,1732.4135653285011,100.0,0.0,largo plazo,3,2,1,4,s,4
18,6062.954657466193,5106.751239683052,1085.1670570293022,medio plazo,1,2,1,1,n,2
48,3927.3965679218554,2698.27162771006,0.0,medio plazo,2,3,3,2,n,3
68,2263.9235051130386,790.4773492658519,0.0,corto plazo,2,3,1,4,n,4
40,1193.4585062069093,100.0,0.0,largo plazo,1,1,1,3,n,3
60,1164.996204003033,176.16431595024733,0.0,corto plazo,2,1,1,4,n,3
31,1528.8743410608947,664.7089047900222,945.7546376150948,corto plazo,3,1,1,1,s,3
53,2989.212123327536,499.7598202466761,0.0,medio plazo,2,2,1,3,s,4
48,2752.014662235876,1444.2126567071427,0.0,largo plazo,3,1,1,3,s,5
65,1617.1605485317311,447.5257131764945,1169.2570402509164,largo plazo,3,3,3,4,s,3
37,6595.921471582542,5483.666854993943,0.0,medio plazo,1,3,2,3,s,4
21,1111.9666222047767,114.47481246936104,0.0,largo plazo,3,3,3,1,n,2
26,912.3108754597132,912.3108754597132,0.0,largo plazo,2,1,2,1,s,3
44,2487.180551402549,1830.681825740418,0.0,corto plazo,1,1,2,3,s,3
19,1870.200724716374,100.0,0.0,corto plazo,2,3,1,3,n,3
22,2998.767599571582,1986.1662926829663,1188.3761640982807,corto plazo,2,1,3,1,s,2
63,1457.055889401487,1457.055889401487,0.0,corto plazo,2,1,1,4,n,3
20,1963.0511139042164,1011.8969832635868,316.02929765491245,medio plazo,3,1,3,1,s,3
65,2273.0949998287606,2273.0949998287606,0.0,corto plazo,3,1,1,3,n,3
64,2535.5281224469736,1305.6193170223487,0.0,corto plazo,1,1,1,1,n,2
56,2878.362268310265,1805.4398020654496,0.0,corto plazo,1,1,2,4,n,3
19,809.9372766363146,100.0,0.0,corto plazo,3,3,1,2,s,4
54,1947.057408810774,1390.1485428362316,1242.8494670550087,largo plazo,1,2,2,3,n,3
34,1283.8563238491697,1283.8563238491697,0.0,largo plazo,2,1,3,4,s,4
42,2726.2915042104373,1908.55053948362,0.0,medio plazo,1,2,3,2,n,2
20,2431.832858413188,2431.832858413188,0.0,corto plazo,2,3,2,4,n,4
31,2077.473520690134,1007.1617168729716,0.0,corto plazo,1,3,2,3,n,3
46,2675.2800020880422,618.6250786847722,0.0,corto plazo,1,3,3,2,n,2
49,6528.485418861892,5358.698096203914,0.0,largo plazo,1,3,3,4,n,3
47,2805.1535199032623,1313.2263717866367,0.0,medio plazo,2,1,3,4,n,3
59,2033.012957188297,556.6070582346977,1473.1413986676832,corto plazo,2,2,1,2,n,2
24,2994.120185516801,1747.0046061881255,0.0,largo plazo,3,3,1,4,s,5
43,900.8002024970608,143.21175315077437,0.0,corto plazo,3,2,1,1,s,3
26,6380.764283209617,4931.562310106139,0.0,medio plazo,1,1,2,2,n,3
27,2598.908828772335,1099.8221899844834,0.0,largo plazo,2,2,1,2,n,4
27,6799.234194121209,6153.166939899422,0.0,largo plazo,2,2,2,3,s,5
50,980.6376510728136,980.6376510728136,0.0,largo plazo,3,1,3,1,n,2
69,1603.6208642042066,959.6254525100228,1308.2290261022108,medio plazo,2,3,2,1,n,2
41,2346.445015643622,613.0765231380522,0.0,medio plazo,3,1,1,1,s,3
65,6687.730028590346,5814.218978869791,0.0,medio plazo,3,1,3,1,s,2
42,2752.014662235876,1293.050535095122,757.2538879723695,medio plazo,3,2,3,2,s,3
69,2259.702744514921,1556.3515952192497,582.238287820592,largo plazo,2,3,3,4,n,3
40,2295.875258318348,1555.852052203832,0.0,corto plazo,3,1,2,1,n,2
44,2786.5260672468635,2201.136492735598,981.0420150794896,medio plazo,2,2,1,4,n,3
26,942.6817973113208,100.0,0.0,medio plazo,1,3,1,4,s,5
27,6890.48456112187,6890.48456112187,1079.3759637173555,medio plazo,2,2,1,2,n,3
55,1392.393589649559,643.9504752718467,0.0,largo plazo,1,2,1,3,n,3
27,2959.049413679906,1738.079612189924,1419.747782785336,corto plazo,1,3,1,4,n,3
32,940.1245259123536,270.4859431019057,0.0,corto plazo,1,1,2,3,n,3
57,964.1902402236964,100.0,0.0,corto plazo,1,2,3,1,s,1
24,6080.236728834751,6080.236728834751,1479.14424444081,corto plazo,2,2,2,1,s,3
39,1941.1329420160691,1066.0562906331008,1412.256121783855,medio plazo,2,2,1,1,n,2
38,1734.198121606748,100.0,0.0,medio plazo,2,2,3,4,n,2
49,2530.172180542162,994.7397370360992,978.7887899250042,largo plazo,1,3,3,2,n,2
18,4417.650628493006,3405.0493216043897,0.0,largo plazo,1,1,2,2,n,3
26,1926.2572262251967,891.9244318849242,0.0,largo plazo,1,3,2,2,n,4
19,1559.4269047437522,100.0,0.0,medio plazo,3,1,2,3,n,3
66,1254.0875891579008,1254.0875891579008,1099.9302856271493,medio plazo,2,1,3,4,n,2
19,823.347071433854,100.0,1322.953670159811,medio plazo,1,1,3,2,n,1
59,2626.498778920497,2626.498778920497,0.0,largo plazo,3,1,3,1,n,2
69,1915.3445378911565,617.2380239832321,0.0,corto plazo,1,1,3,2,s,2
44,2844.809452843936,1934.2394180658064,0.0,largo plazo,3,1,1,2,s,5
35,7412.088642141347,6910.480827499154,0.0,corto plazo,1,1,3,3,n,2
43,1288.9028707481011,482.2523798963573,0.0,largo plazo,3,1,1,1,s,4
29,1479.2034117640517,537.8973286399802,911.1703346827564,medio plazo,2,2,3,1,n,1
56,1461.1264334427888,1461.1264334427888,0.0,corto plazo,1,3,2,4,n,3
21,1001.6781057655857,142.90781219779046,0.0,medio plazo,3,2,2,1,n,2
53,2145.035914699478,2145.035914699478,406.45531736148655,corto plazo,1,3,1,4,n,3
29,1246.8530201882013,100.0,0.0,medio plazo,1,1,1,2,s,3
62,2923.1891282187376,1668.2151509371374,1410.9733923083334,largo plazo,1,3,1,4,n,3
34,2202.9224782577794,962.5106840525776,593.471911002159,largo plazo,1,2,1,1,n,2
54,1320.59311196166,516.6828701026078,1238.364209955054,corto plazo,2,1,2,1,n,1
21,1897.2979006950377,444.8372091684532,0.0,corto plazo,3,3,1,4,n,4
55,1082.5132921149625,100.0,0.0,largo plazo,3,3,3,2,n,2
66,2367.9099399572,1604.5442877457067,0.0,largo plazo,3,2,3,4,n,3
28,1873.7601890196836,1873.7601890196836,0.0,corto plazo,1,3,3,2,s,3
61,1252.0031137154097,100.0,0.0,largo plazo,2,3,2,2,n,3
48,2505.338825742974,935.8920132391052,0.0,largo plazo,1,3,3,3,s,4
63,2655.8335453698337,2053.538443218799,0.0,medio plazo,2,2,1,3,n,3
35,1016.9935497862668,157.83235352247232,1391.5873966478005,corto plazo,2,1,1,3,n,2
23,1708.6777829397065,1708.6777829397065,0.0,largo plazo,2,3,3,2,n,3
26,879.1237399168641,100.0,0.0,medio plazo,2,3,1,4,n,4
22,1631.701935067515,1000.0092948623784,0.0,largo plazo,2,3,3,4,s,5
61,1111.9666222047767,1111.9666222047767,0.0,corto plazo,2,3,1,2,n,3
62,2792.5521940233816,2071.945810240496,0.0,medio plazo,3,3,1,4,s,5
23,2529.431370212263,1317.2680097176865,1208.1194495383884,corto plazo,1,1,3,1,s,1
33,1821.587323173659,1821.587323173659,0.0,medio plazo,2,3,1,4,s,5
23,1535.0490564783893,639.3198894420034,0.0,medio plazo,2,3,1,1,n,3
53,1329.334386063297,1329.334386063297,0.0,largo plazo,3,2,1,3,n,4
45,1003.7945133142144,381.1537642062161,0.0,medio plazo,1,3,2,3,n,3
49,1907.0425455913987,1160.4929659418244,0.0,medio plazo,3,2,3,1,n,2
31,2927.178384057552,2927.178384057552,0.0,corto plazo,1,1,3,3,n,2
42,3542.526918868427,3542.526918868427,0.0,medio plazo,1,2,1,4,n,4
47,1870.200724716374,668.7884651048246,808.0424088254747,medio plazo,1,2,2,1,n,1
47,950.561287021625,100.0,0.0,corto plazo,3,1,3,1,n,1
55,2853.2290572968427,1760.204425860759,223.5959968936916,corto plazo,3,3,3,3,s,3
48,2238.2889952242817,1405.3366858060183,1173.8193506728164,corto plazo,2,1,1,3,n,2
67,4105.3466466367045,4105.3466466367045,0.0,medio plazo,1,2,2,4,n,3
36,1040.635022953146,100.0,0.0,largo plazo,2,3,3,3,s,3
61,2193.724171686011,1632.2645668432056,0.0,medio plazo,2,3,2,1,s,3
22,1394.5142966649855,100.0,0.0,corto plazo,1,2,1,1,n,2
27,966.4813808463364,100.0,0.0,largo plazo,3,1,1,3,s,5
33,2151.1912985599965,1029.2933576566177,0.0,largo plazo,2,2,3,3,n,3
38,2349.0203308279106,1792.1114648533685,915.6508001808618,medio plazo,1,1,1,1,s,2
48,2288.532605270502,2288.532605270502,0.0,corto plazo,2,2,3,2,s,3
23,3989.692534169887,3447.0361394105576,1464.881945556362,medio plazo,1,2,2,4,s,4
43,2533.922518654073,1248.8966702832768,0.0,medio plazo,2,1,2,4,n,3
57,2200.607722250406,770.5921200243706,0.0,corto plazo,2,2,2,4,n,3
49,2065.8892930730626,2065.8892930730626,0.0,largo plazo,2,2,1,3,s,5
68,2878.362268310265,771.4948924500682,0.0,largo plazo,1,2,3,1,n,1
60,1333.582570727743,414.2695344768538,0.0,medio plazo,2,2,2,3,n,3
42,1286.5960872928763,1286.5960872928763,0.0,largo plazo,3,2,1,1,s,4
29,2904.337928318941,958.880058046404,0.0,largo plazo,2,1,2,3,s,5
42,5815.459094212214,5815.459094212214,808.0424088254747,largo plazo,3,1,3,4,n,3
57,1797.159161391744,910.9776630547163,0.0,corto plazo,3,2,2,1,n,2
60,2994.120185516801,1458.687742010738,0.0,medio plazo,2,2,3,1,s,2
43,2998.9897449157475,1686.5707905347344,669.1483354845031,medio plazo,1,1,1,2,s,3
35,2199.8503814523656,816.0262647353297,519.9552218975778,medio plazo,3,2,2,2,n,3
57,850.7985068996105,850.7985068996105,290.25209859746974,largo plazo,2,2,1,2,s,4
37,990.6142142789791,100.0,0.0,corto plazo,2,3,3,1,n,1
27,2670.0919176883654,2670.0919176883654,0.0,corto plazo,3,3,1,3,n,4
18,977.9024728544272,303.75947886211964,0.0,medio plazo,1,2,2,1,s,3
55,1373.7345973009485,1373.7345973009485,792.3749102530842,corto plazo,3,1,1,4,n,3
67,1035.9705679898436,100.0,0.0,medio plazo,2,1,3,1,n,1
65,2136.10274232229,704.0273251223803,859.708199428894,medio plazo,2,2,3,4,n,2
36,4495.838029043139,4495.838029043139,0.0,corto plazo,2,1,3,3,s,3
34,2743.248806631711,1525.0146384844404,414.3862364440714,corto plazo,2,2,3,4,n,3
68,2263.1371239740965,1276.42804452753,0.0,corto plazo,2,1,3,4,n,2
53,6958.774421285621,6387.490861200216,772.8422435548202,corto plazo,1,3,3,2,n,2
19,2103.032779682363,831.4864905550648,403.1333374390916,largo plazo,3,2,2,1,s,4
62,2307.345091040825,843.0899643430967,0.0,corto plazo,1,2,1,2,n,3
35,1446.0904850668364,100.0,0.0,corto plazo,2,3,1,4,n,3
53,1333.0240043730714,100.0,406.6668415022657,corto plazo,1,3,3,4,n,2
46,1533.8107797681937,364.0618757079365,0.0,medio plazo,3,3,3,2,s,4
39,1231.2544030429967,314.34268413782183,793.8129766907635,corto plazo,3,3,3,3,s,3
68,2862.6678078217883,2862.6678078217883,0.0,corto plazo,1,3,3,1,n,1
50,1419.307593680445,871.3252499493345,0.0,largo plazo,3,3,1,3,s,5
52,912.3108754597132,100.0,0.0,corto plazo,3,2,2,1,s,3
40,2567.8030475888745,1434.3889877417307,0.0,largo plazo,3,2,1,3,n,4
39,889.4809814185259,100.0,0.0,medio plazo,1,1,3,4,s,3
60,836.9815552708825,100.0,0.0,largo plazo,3,3,1,2,s,4
25,1821.3652822966708,100.0,0.0,medio plazo,1,3,2,4,n,3
67,1832.0222741444952,1832.0222741444952,0.0,corto plazo,3,3,3,2,s,3
49,1380.2453703495382,638.810016715842,0.0,medio plazo,1,2,2,2,n,3
47,1055.9051792573257,100.0,0.0,corto plazo,2,1,1,2,n,2
37,1344.875352734255,1344.875352734255,723.7560056591961,corto plazo,1,3,1,2,n,2
24,1431.2855307469804,1431.2855307469804,0.0,medio plazo,2,1,3,1,n,2
56,2177.1232859859992,2177.1232859859992,0.0,largo plazo,1,2,1,4,s,5
22,2314.268333604084,875.9500898942467,0.0,medio plazo,1,2,1,2,s,4
69,3513.796581400875,2362.689890563476,891.6538643258201,medio plazo,1,2,2,1,s,2
47,2503.876629454202,2503.876629454202,0.0,corto plazo,2,3,3,1,n,2
32,1699.4732166224203,1158.1338672880493,0.0,largo plazo,2,2,2,3,n,4
63,1900.4505046506797,686.6018450964302,0.0,medio plazo,2,1,1,4,s,4
32,2681.5961241524024,1685.269010274125,0.0,largo plazo,1,3,1,4,n,5
38,1783.32950991799,100.0,381.3971884041173,largo plazo,2,1,2,3,s,3
69,2898.051276661681,1611.0837590306712,0.0,medio plazo,3,2,2,2,s,4
56,2193.056037648911,1377.729900661172,0.0,corto plazo,1,1,1,2,n,2
51,2820.0682779199697,1940.9226979291493,0.0,largo plazo,3,1,1,3,s,5
20,2657.3409086949505,1569.7367671094742,0.0,largo plazo,2,2,2,3,n,4
25,1680.0033044107136,293.6600833169248,0.0,medio plazo,2,2,3,3,n,3
65,1020.151443271424,1020.151443271424,0.0,corto plazo,1,2,3,2,s,3
38,5119.758353136903,3950.0094490766455,0.0,corto plazo,2,2,3,2,n,2
19,2857.584031454768,2064.417524563653,1049.3775576292865,corto plazo,1,1,3,3,n,2
42,2313.712380733601,2313.712380733601,570.8863524373667,largo plazo,1,1,1,2,n,3
58,839.1999418809341,100.0,0.0,corto plazo,2,3,1,2,s,3
62,1248.510661348338,706.3079559458055,486.3685642207862,corto plazo,2,3,3,1,n,1
47,889.4809814185259,164.7765230447211,0.0,largo plazo,2,3,3,4,s,4
42,1339.8679591974792,661.5837497353205,0.0,largo plazo,2,3,3,4,s,5
36,1107.615377236859,407.954243050699,0.0,largo plazo,2,2,2,2,s,4
64,896.8345075475202,896.8345075475202,0.0,medio plazo,2,3,1,2,s,4
25,1977.670538082408,100.0,0.0,largo plazo,3,1,3,1,s,2
51,3931.2614691095314,1782.3595044909134,0.0,medio plazo,1,1,3,3,n,2
30,6799.234194121209,5552.118614792534,341.6886721698729,largo plazo,1,3,3,4,n,3
67,2841.650089805141,1531.5809291866044,0.0,largo plazo,2,2,1,1,n,3
59,2694.537750003968,581.9304017979116,1366.4307302317216,corto plazo,1,1,2,2,n,1
33,2666.307661975876,1812.4737157118248,756.2575895299814,medio plazo,2,2,3,2,s,3
31,1498.0413126184703,689.9223502535481,0.0,largo plazo,2,1,2,2,n,3
46,1913.9785045556469,1913.9785045556469,0.0,corto plazo,3,3,3,4,s,4
53,1400.0350000405565,351.341903177655,0.0,medio plazo,2,1,3,4,s,3
37,836.7766329417834,836.7766329417834,0.0,corto plazo,3,3,3,4,s,4
23,2675.2800020880422,293.42945340626875,0.0,medio plazo,2,2,3,1,s,2
68,2469.6986029845693,1285.9887943686072,0.0,largo plazo,2,3,1,4,n,4
18,2683.5779477180213,1843.9059914409495,0.0,largo plazo,2,3,1,3,n,5
34,1789.6280287206737,546.2549499146512,0.0,medio plazo,1,2,3,3,n,3
43,2808.678342853021,2288.721725374504,0.0,largo plazo,1,2,3,4,n,3
33,2998.558207808264,1559.6493622022244,0.0,corto plazo,2,2,2,2,s,4
51,2871.836586937815,1969.9471248576303,0.0,largo plazo,3,2,1,1,n,3
50,6540.668518393644,5212.669730251231,311.6405985724612,corto plazo,3,3,3,2,s,3
36,809.7952842021882,100.0,1225.3072131363708,largo plazo,3,1,1,1,n,2
25,1873.7601890196836,858.8038580766853,0.0,medio plazo,1,2,2,4,n,4
43,3757.9041790077854,3757.9041790077854,0.0,corto plazo,1,3,3,1,s,2
48,1314.9343404027657,523.6722330080424,629.7036684819336,medio plazo,3,1,3,2,s,3
52,2028.5496455405691,1375.1690492593668,0.0,medio plazo,2,3,1,2,n,4
39,2828.6804231927654,1972.7567669513828,0.0,largo plazo,2,1,1,1,n,3
43,903.1267053777128,100.0,0.0,medio plazo,3,1,1,2,n,3
55,1300.692906548241,100.0,0.0,medio plazo,3,1,3,3,s,3
19,1602.7179639379888,100.0,0.0,corto plazo,1,3,2,2,n,2
65,1307.076992603843,410.9511735839768,0.0,corto plazo,2,2,2,4,s,4
48,1390.5974157747078,568.0617302394212,0.0,medio plazo,1,1,2,1,s,3
54,1364.6421818903696,100.0,0.0,corto plazo,1,2,1,1,s,2
53,1186.028473324444,172.58549721699922,0.0,largo plazo,3,2,3,4,s,4
20,1468.0157272835306,456.3943828339279,752.6308261978677,corto plazo,1,2,3,4,s,3
55,816.312703094071,100.0,722.0197264895852,corto plazo,1,2,3,4,s,2
54,1126.4990428282645,202.5393740635211,630.5661228168849,largo plazo,2,3,2,4,n,3
37,2598.908828772335,2598.908828772335,0.0,corto plazo,2,1,1,4,s,4
25,1791.465827929782,908.744572125571,0.0,medio plazo,2,2,1,4,n,4
30,2644.904352463584,189.47568614066316,0.0,corto plazo,1,2,3,4,s,3
24,1328.394908386197,643.3951095749276,1139.3725704720437,medio plazo,3,1,1,2,n,3
60,3487.36528430209,2690.15518580936,1265.9065610168136,largo plazo,1,2,1,3,s,4
62,2145.035914699478,100.0,1488.582251689296,corto plazo,3,2,2,2,n,1
59,1666.4369751194313,167.00697830996432,0.0,medio plazo,1,2,3,2,n,2
51,2458.3379822963207,2458.3379822963207,454.8229693342235,medio plazo,2,3,2,2,s,4
37,2427.586772992932,1276.4800821555332,316.02929765491245,corto plazo,1,2,2,1,n,2
48,1333.0240043730714,612.4176205901856,0.0,corto plazo,1,1,3,2,s,3
55,2635.995780219502,1321.421099629145,0.0,largo plazo,1,1,1,3,s,4
48,1328.394908386197,1328.394908386197,0.0,largo plazo,3,3,1,3,s,5
26,1528.8743410608947,180.15428131437784,780.9319138846898,corto plazo,3,2,3,1,n,1
18,2406.1755183190216,1021.2276733043566,0.0,medio plazo,3,2,3,4,n,4
30,7858.105991414011,7222.41305150379,0.0,corto plazo,3,2,2,1,n,3
62,1241.6234341115917,1241.6234341115917,512.8549452659031,medio plazo,2,3,1,1,s,3
26,2696.0609186085176,1219.124210681318,890.2017420289702,largo plazo,3,3,2,1,s,4
69,900.8002024970608,100.0,0.0,largo plazo,1,1,1,3,n,3
36,1402.8521376068477,471.374029589792,0.0,corto plazo,3,3,2,3,s,5
32,2813.8536998953687,1993.314935449128,0.0,corto plazo,2,2,3,1,s,3
61,1132.1790139125633,100.0,0.0,medio plazo,3,3,3,2,s,3
61,2418.3653790495555,1509.039140570823,0.0,medio plazo,1,3,2,1,n,2
23,820.1166137245563,820.1166137245563,0.0,largo plazo,2,2,1,3,n,4
22,1180.5644463971398,100.0,0.0,largo plazo,1,2,3,2,n,2
38,851.9205616989616,100.0,0.0,medio plazo,3,3,1,2,s,4
30,6958.774421285621,6162.71065096508,0.0,medio plazo,2,1,1,4,s,5
24,1743.6962738852403,100.0,289.4403412685509,largo plazo,3,2,1,3,s,4
65,2449.0646742973045,1659.6142454969856,0.0,corto plazo,2,2,2,2,s,3
29,901.4698115763211,901.4698115763211,0.0,medio plazo,3,1,3,1,s,3
27,2601.938169872804,1651.033004506609,0.0,largo plazo,3,3,2,2,s,5
49,2726.2915042104373,1807.9471144980143,293.8487741877017,medio plazo,2,2,1,4,s,5
27,1249.3744515239812,100.0,1117.722243650218,largo plazo,3,1,2,1,n,1
