isin,fund_name,category,fund_type,risk_rating,performance_rating,investment_strategy,dividend_frequency,roe,asset_stock,asset_bond,country_exposure,ongoing_cost,management_fees,nav_per_share_currency,nav_per_share,latest_nav_date,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_trailing_return_10years,long_term_projected_earnings_growth,historical_earnings_growth
DE000A0H08Q4,iShares STOXX Europe 600 Technology UCITS ETF (DE),Sector Equity Technology,equity,3.0,2.0,"The investment seeks to replicate, net of expenses, the STOXX Europe 600 Technology TR index as closely as possible. The fund invests in physical index securities. The index offers exposure to the European Technology sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the STOXX Europe 600 index.",Quarterly,19.04,99.68,0.0,"DEU: 32.76, NLD: 29.5, FRA: 11.97, GBR: 6.08, ESP: 4.91, SWE: 4.58, CHE: 4.06, SGP: 3.68, DNK: 1.46, TWN: 1.0",0.46,0.0,EUR,53.44,2020-11-13,11.4,8.83,16.45,12.89,14.8,5.47
DE000A0F5UJ7,iShares STOXX Europe 600 Banks UCITS ETF (DE),Sector Equity Financial Services,equity,4.0,2.0,"The investment seeks to replicate, net of expenses, the STOXX Europe 600 Banks TR index as closely as possible. The fund invests in physical index securities. The index offers exposure to the European Banks sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the STOXX Europe 600 index.",Quarterly,3.35,99.01,0.0,"GBR: 29.14, FRA: 13.23, ESP: 13.06, ITA: 11.16, SWE: 7.56, NLD: 6.05, DEU: 4.27, FIN: 4.21, BEL: 2.57, NOR: 2.37, AUT: 2.0, DNK: 1.68, POL: 1.28, CHE: 1.03, IRL: 0.4",0.46,0.0,EUR,10.04,2020-11-13,-24.74,-14.74,-4.14,-3.29,7.13,-5.12
DE0006289309,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),Sector Equity Financial Services,equity,5.0,1.0,"iShares EURO STOXX Banks (DE) is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX Banks Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX Banks Index offers exposure to the Euro zone Banks sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the EURO STOXX Index. The EURO STOXX Index offers exposure to large, mid and small capitalisation stocks from Euro zone developed countries. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,2.95,99.24,0.0,"FRA: 25.17, ESP: 24.86, ITA: 20.9, NLD: 11.51, DEU: 8.14, BEL: 4.9, AUT: 3.85, IRL: 0.67",0.51,0.0,EUR,6.65,2020-11-13,-25.36,-16.92,-5.46,-5.36,5.65,-4.72
DE0006289382,iShares Dow Jones Global Titans 50 UCITS ETF (DE),Global Large-Cap Blend Equity,equity,3.0,5.0,"iShares Dow Jones Global Titans 50 (DE) is an exchange traded fund (ETF) that aims to track the performance of the Dow Jones Global Titans 50 Index as closely as possible. The ETF invests in physical index securities. The Dow Jones Global Titans 50 Index offers exposure to 50 multinational companies traded on major exchanges of countries covered by the Dow Jones Global Indexes (DJGI) benchmark family. Stocks are selected based on rankings by free float market capitalisation, sales/revenue and net profit. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,31.07,99.66,0.0,"USA: 83.07, CHE: 5.26, GBR: 2.19, KOR: 2.14, TWN: 1.99, DEU: 1.57, JPN: 1.19, FRA: 0.77, CAN: 0.71, NLD: 0.6, AUS: 0.51",0.51,0.0,EUR,45.81,2020-11-13,13.16,13.25,16.93,13.13,9.63,10.88
DE0005933972,iShares TecDAX® UCITS ETF (DE),Sector Equity Technology,equity,3.0,2.0,"iShares TecDAX (DE) is an exchange traded fund (ETF) that aims to track the performance of the TecDAX Index as closely as possible. The ETF invests in physical index securities. The TecDAX Index offers exposure to the 30 largest and most traded technology companies which are listed on the Prime Standard segment of the Frankfurt Stock Exchange and rank below the DAX Index in terms of size and turnover. Companies qualify if they are either domiciled in Germany or a minimum of 33% of their stock turnover is traded of the Frankfurt Stock Exchange and they are domiciled in an EU or EFTA country. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,13.38,100.01,0.0,"DEU: 90.99, USA: 8.21, AUT: 0.8",0.51,0.0,EUR,27.6,2020-11-13,6.26,6.91,16.26,14.75,9.39,12.64
DE0005933923,iShares MDAX® UCITS ETF (DE),Germany Small/Mid-Cap Equity,equity,3.0,3.0,"iShares MDAX (DE) is an exchange traded fund (ETF) that aims to track the performance of the MDAX Index as closely as possible. The ETF invests in physical index securities. The MDAX Index offers exposure to 50 German mid cap stocks which are listed on the Prime Standard segment of the Frankfurt Stock Exchange and rank below the DAX Index measured by market capitalisation and turnover. Companies qualify if they are either domiciled in Germany or a minimum of 33% of their stock turnover is traded of the Frankfurt Stock Exchange and they are domiciled in an EU or EFTA country. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,13.85,99.95,0.0,"DEU: 84.01, NLD: 12.58, USA: 3.4",0.51,0.0,EUR,240.05,2020-11-13,6.04,2.32,11.32,11.78,8.08,3.31
DE0005933931,iShares Core DAX® UCITS ETF (DE),Germany Equity,equity,3.0,3.0,"iShares DAX (DE) is an exchange traded fund (ETF) that aims to track the performance of the DAX Index as closely as possible. The ETF invests in physical index securities. The DAX Index offers exposure to the 30 largest and most traded stocks listed on the Prime Standard segment of the Frankfurt Stock Exchange. Companies qualify if they are either domiciled in Germany or a minimum of 33% of their stock turnover is traded of the Frankfurt Stock Exchange and they are domiciled in an EU or EFTA country. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Acc,7.9,99.95,0.0,"DEU: 89.52, GBR: 10.48",0.16,0.0,EUR,111.4,2020-11-13,4.01,-0.23,8.79,7.16,8.25,-8.81
DE000A0H08R2,iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),Sector Equity Communications,equity,3.0,3.0,"iShares STOXX Europe 600 Telecommunications (DE) is an exchange traded fund (ETF) that aims to track the performance of the STOXX Europe600 Telecommunications Index as closely as possible. The ETF invests in physical index securities. The STOXX Europe600 Telecommunications Index offers exposure to the European Telecommunications sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the STOXX Europe600 Index. The STOXX Europe 600 Index offers exposure to large, mid and small capitalisation stocks from European developed countries. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,10.32,99.3,0.0,"DEU: 19.32, GBR: 17.19, SWE: 16.49, ESP: 13.18, FIN: 9.03, FRA: 8.48, NLD: 4.38, CHE: 4.12, NOR: 3.24, ITA: 2.44, LUX: 1.14, BEL: 1.0",0.46,0.0,EUR,18.84,2020-11-13,-8.11,-4.81,-2.1,2.08,12.49,-1.45
DE0005933949,iShares STOXX Europe 50 UCITS ETF (DE),Europe Large-Cap Blend Equity,equity,2.0,3.0,"iShares STOXX Europe 50 (DE) is an exchange traded fund (ETF) that aims to track the performance of the STOXX Europe 50 Index as closely as possible. The ETF invests in physical index securities. The STOXX Europe50 Index offers exposure to 50 of the largest stocks from European developed countries, measured and weighted by free float market capitalisation. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,16.8,98.26,0.0,"GBR: 27.83, CHE: 21.64, FRA: 19.78, DEU: 13.9, NLD: 8.58, DNK: 2.63, ITA: 2.57, ESP: 1.79, BEL: 1.28",0.51,0.0,EUR,30.1,2020-11-13,-3.35,2.0,7.49,5.63,8.98,-3.93
FI0008805627,Seligson & Co OMX Helsinki 25 -indeksiosuusrahasto ETF,Finland Equity,equity,2.0,4.0,"Seligson & Co OMXH25 ETF is a publicly traded fund which tracks the return of the OMX Helsinki 25 Stock Index, ie. its assets are invested according to the index. The ETF provides an easy and cost-effective way to invest in a well-distributed stock portfolio, which follows the share price development of the most traded shares in the Helsinki Stock Exchange.",Acc,15.5,99.95,0.0,"FIN: 99.58, SWE: 0.42",0.16,0.1582,EUR,55.65,2020-11-13,14.94,8.24,15.55,10.97,8.95,-5.11
LU0136234068,UBS ETF - EURO STOXX 50 UCITS ETF (EUR) A-dis,Eurozone Large-Cap Equity,equity,4.0,3.0,"The sub-fund aims to track, before expenses, the price and income performance of the EURO STOXX 50 Index (Net Return) (this sub-fund's ""index""). The index is rebalanced on a quarterly basis and may also be rebalanced at other times in order to comply with applicable investment restrictions or to reflect corporate activity such as mergers and acquisitions.",Annually,10.42,98.88,0.0,"FRA: 34.86, DEU: 27.34, NLD: 17.48, ESP: 6.24, GBR: 4.77, ITA: 4.51, BEL: 1.88, FIN: 1.86, USA: 1.06",0.16,0.15,EUR,34.45,2020-11-13,-1.29,1.86,8.59,6.0,11.04,-2.63
LU0136234654,UBS ETF - MSCI USA UCITS ETF (USD) A-dis,US Large-Cap Blend Equity,equity,3.0,4.0,"The sub-fund aims to track, before expenses, the price and income performance of the MSCI USA Index (Net Return) (this sub-fund's ""index""). The index is rebalanced on a quarterly basis and may also be rebalanced at other times in order to comply with applicable investment restrictions or to reflect corporate activity such as mergers and acquisitions.",Annually,25.13,99.62,0.0,"USA: 98.55, GBR: 0.57, CHE: 0.33, CHN: 0.21, BRA: 0.18, CAN: 0.1, SGP: 0.04, SWE: 0.02",0.14,0.14,USD,348.15,2020-11-13,14.1,13.15,16.92,15.34,9.36,10.8
LU0136242590,UBS ETF - FTSE 100 UCITS ETF (GBP) A-dis,UK Large-Cap Equity,equity,2.0,3.0,The investment objective is to replicate the price performance and returns of the FTSE 100 index (gross of fees). The fund generally invests in UK large cap stocks contained in the FTSE 100 index. The relative weightings of the companies correspond to their weightings in the index.,Annually,12.18,98.71,0.0,"GBR: 91.99, USA: 4.74, CHE: 1.53, NLD: 0.63, RUS: 0.35, ESP: 0.33, CHN: 0.17, MEX: 0.12, DEU: 0.05, FRA: 0.02, ITA: 0.02, BRA: 0.01, CAN: 0.01, SWE: 0.01",0.21,0.2,GBP,58.92,2020-11-13,-14.84,-1.47,4.52,4.51,6.62,-6.68
FR0007068085,BNP Paribas Easy Stoxx Europe 600 Oil&Gas UCITS ETF,Sector Equity Energy,equity,2.98,3.15,"The investment seeks to replicate, net of expenses, the STOXX Europe Oil & Gas Index. The index tracks the performance of Eurozone companies in the energy sector.",Acc,-3.56,100.0,0.0,"GBR: 27.94, FRA: 26.9, DNK: 9.07, ITA: 8.62, FIN: 6.42, ESP: 6.13, NOR: 5.31, DEU: 3.61, PRT: 1.29, AUT: 1.11, SWE: 1.08, POL: 1.04, RUS: 0.8, NLD: 0.67",0.3,0.3,EUR,605.4,2020-11-13,5.99,4.1,12.39,4.36,25.43,6.38
FR0007054358,Lyxor Euro Stoxx 50 (DR) UCITS ETF Dist,Eurozone Large-Cap Equity,equity,4.0,3.0,"The Lyxor EURO STOXX 50 (DR) UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index EURO STOXX 50 Net Return EUR, offsetting the impact of daily variations of the index local currency vs. the USD. The USD-hedged share class offers the simplicity of a daily currency hedge mechanism that is embedded in the investment product, representing an efficient solution to manage the foreign-exchange risk.The EURO STOXX 50 Net Return EUR is Europe's leading Blue-chip index for the Eurozone providing a Blue-chip representation of supersector leaders in the Eurozone from 50 stocks and over 12 Eurozone countries. It captures approximately 60% of the free float market capitalisation of the EURO STOXX Total Market Index (TMI), which in turn covers approximately 95% of the free float market capitalisation of the represented countries. More information on www.stoxx.com.",Annually,10.87,100.0,0.0,"FRA: 34.26, DEU: 27.76, NLD: 18.23, ESP: 5.9, GBR: 4.74, ITA: 4.28, FIN: 2.01, BEL: 1.72, USA: 1.11",0.2,0.2,EUR,33.42,2020-11-13,-0.48,1.93,8.6,5.97,11.04,-2.63
FR0007052782,Lyxor CAC 40 (DR) UCITS ETF Dist,France Equity,equity,3.0,4.0,"The Lyxor CAC 40 (DR) UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index CAC 40 Total Return Index so genau wie mglich abzubilden.The index tracks the performance of the 40 largest French stocks by free float market capitalization and turnover. The index is a gross total return index and assumes that gross dividends (withholding taxes are not deducted) paid by its constituents are reinvested in the index. More information on www.euronext.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,9.43,100.0,0.0,"FRA: 94.07, NLD: 3.53, SGP: 1.6, USA: 0.8",0.25,0.25,EUR,53.06,2020-11-13,-2.59,3.36,10.47,7.39,12.94,4.06
DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),Eurozone Large-Cap Equity,equity,4.0,3.0,"iShares EURO STOXX 50 (DE) is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX 50 Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX 50 Index offers exposure to 50 of the largest stocks in the Euro zone. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,10.54,99.66,0.0,"FRA: 34.63, DEU: 27.2, NLD: 17.85, ESP: 6.28, GBR: 4.74, ITA: 4.51, BEL: 1.87, FIN: 1.87, USA: 1.06",0.13,0.0,EUR,34.55,2020-11-13,-1.24,1.93,8.72,6.22,11.04,-2.63
IE0008470928,iShares STOXX Europe 50 UCITS ETF EUR (Dist),Europe Large-Cap Blend Equity,equity,2.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the STOXX? Europe 50 Index as closely as possible. The ETF invests in physical index securities. The STOXX? Europe 50 Index offers exposure to 50 of the largest stocks from European developed countries, measured and weighted by free float market capitalisation. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,16.8,99.62,0.0,"GBR: 27.85, CHE: 21.63, FRA: 19.78, DEU: 13.9, NLD: 8.57, DNK: 2.63, ITA: 2.57, ESP: 1.79, BEL: 1.28",0.35,0.0,EUR,30.97,2020-11-13,-2.54,2.14,7.55,5.69,8.98,-3.93
IE0008471009,iShares EURO STOXX 50 UCITS ETF EUR (Dist),Eurozone Large-Cap Equity,equity,4.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the EURO STOXX? 50 Index as closely as possible. The ETF invests in physical index securities. The EURO STOXX? 50 Index offers exposure to 50 of the largest stocks in the Euro zone. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,10.54,99.63,0.0,"FRA: 34.63, DEU: 27.2, NLD: 17.85, ESP: 6.28, GBR: 4.73, ITA: 4.51, BEL: 1.87, FIN: 1.87, USA: 1.06",0.1,0.0,EUR,34.77,2020-11-13,-0.24,1.97,8.73,6.01,11.05,-2.63
FR0010010827,Lyxor FTSE MIB UCITS ETF Dist,Italy Equity,equity,4.0,3.0,"The Lyxor FTSE MIB UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index FTSE MIB Net Total Return Index.The FTSE MIB Net Total Return Index is the primary benchmark index for the Italian equity market. Capturing approximately 80% of the domestic market capitalisation, the FTSE MIB Index measures the performance of the 40 most liquid and capitalised Italian shares and seeks to replicate the broad sector weights of the Italian stock market.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,9.83,100.0,0.0,"ITA: 86.93, GBR: 6.82, SGP: 6.25",0.35,0.35,EUR,20.19,2020-11-13,-3.98,0.65,6.88,3.35,7.75,-1.58
IE00B00FV128,iShares FTSE 250 UCITS ETF GBP (Dist),UK Mid-Cap Equity,equity,2.0,2.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the FTSE 250 Index as closely as possible. The ETF invests in physical index securities. The FTSE 250 Index offers exposure to 250 UK stocks which rank below the FTSE 100 Index measured by full market capitalisation. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,10.55,88.02,-0.03,"GBR: 82.43, USA: 6.3, CHN: 1.52, JPN: 1.4, DEU: 1.22, CHE: 1.14, ISR: 0.51, TWN: 0.44, FRA: 0.42, EGY: 0.4, ARE: 0.35, KOR: 0.33, SGP: 0.32, AUT: 0.31, VNM: 0.3, NLD: 0.28, IND: 0.25, HKG: 0.21, CAN: 0.2, SWE: 0.2, AUS: 0.16, BRA: 0.15, DNK: 0.15, KWT: 0.13, ITA: 0.11, ZAF: 0.11, RUS: 0.1, NOR: 0.09, ESP: 0.07, MEX: 0.07, BEL: 0.05, IDN: 0.05, IRL: 0.04, THA: 0.03, CHL: 0.02, FIN: 0.02, NZL: 0.02, PER: 0.02, ROU: 0.02, GRC: 0.01, HUN: 0.01, MAC: 0.01, PHL: 0.01, VGB: 0.01",0.4,0.0,GBX,1829.8,2020-11-13,-10.87,1.36,5.19,8.3,15.74,-9.43
IE00B02KXH56,iShares MSCI Japan UCITS ETF USD (Dist),Japan Large-Cap Equity,equity,2.0,3.0,"The fund is an exchange traded fund (ETF) that aims to track the performance of the MSCI Japan Index as closely as possible. The ETF invests in physical index securities. The MSCI Japan Index offers exposure to Japanese stocks which comply with MSCI's size, liquidity, and free float criteria. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Annually,8.78,99.03,0.0,JPN: 100.0,0.59,0.0,USD,15.87,2020-11-13,7.98,3.75,9.61,,9.43,-4.08
DE000A0F5UK5,iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),Sector Equity Industrial Materials,equity,5.0,2.0,"iShares STOXX Europe 600 Basic Resources (DE) is an exchange traded fund (ETF) that aims to track the performance of the STOXX Europe 600 Basic Resources Index as closely as possible. The ETF invests in physical index securities. The STOXX Europe 600 Basic Resources Index offers exposure to the European Basic Resources sector as defined by the Industry Classification Benchmark (ICB). It is a sub index of the STOXX Europe 600 Index. The STOXX Europe 600 Index offers exposure to large, mid and small capitalisation stocks from European developed countries. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Quarterly,11.55,99.69,0.0,"GBR: 54.27, SWE: 11.97, CHE: 9.04, FIN: 8.82, USA: 3.76, BEL: 2.74, RUS: 2.51, POL: 1.65, NOR: 1.57, AUT: 1.12, ITA: 1.04, MEX: 0.91, EGY: 0.59",0.46,0.0,EUR,43.26,2020-11-13,2.05,2.86,18.34,0.4,11.58,5.86
